Row Labels,Average of c1_school_closing,Average of c2_workplace_closing,Average of c3_cancel_public_events,Sum of c4_restrictions_on_gatherings,Average of c3_flag,Average of c4_flag,Average of c5_close_public_transport,Average of c5_flag,Average of c8_internationaltravel,Average of c7_flag,Sum of c7_movementrestrictions,Average of c6_flag,Average of c6_stay_at_home_requirements,Average of confirmed_deaths,Average of confirmed_cases
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0.04,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0.04,0,0,0.02,0.02,0,0.000812
5,0,0,0,1,0,0,0,0,1.04,0,0,0.02,0.02,0,0.000498
6,0,0,0,1,0,0,0,0,2,0,0,0.02,0.02,0,0.000444
7,0,0,0,1,0,0,0,0,2,0,0,0.02,0.02,0,0.000102
8,0,0,0,1,0,0,0,0,2,0,0,0.02,0.02,0,0.000102
9,0,0,0,1,0,0,0.02,0.02,2,0,0,0.02,0.02,0.00027,0.005628
10,0.02,0.02,0.08,1,0.02,0,0.02,0.02,3,0,1,0.02,0.04,0.004834,0.112206
11,1.16,1.02,1.22,29,0.82,0.3,0.06,0.06,3,0.14,12,0.14,0.2,0.013604,0.763628
12,2.64,1.94,1.7,126,0.94,0.66,0.4,0.1,3,0.94,55,0.3,0.56,0.103462,6.803296
13,2.9,2.52,1.88,176,0.96,0.82,0.58,0.18,3,0.94,65,0.64,1.44,0.579896,23.924022
14,3,2.62,1.94,185,0.98,0.92,0.72,0.24,3,1,71,0.94,1.78,1.803666,47.061996
15,3,2.68,1.94,188,0.96,0.9,0.8,0.24,3,1,73,0.96,1.8,2.993752,54.249836
16,3,2.68,1.94,188,0.96,0.9,0.84,0.26,3,0.98,72,0.94,1.78,3.480394,52.441306
17,3,2.64,1.92,188,0.96,0.9,0.86,0.26,3,0.98,72,0.94,1.78,3.79724,59.64499
18,3,2.52,1.94,184,0.94,0.88,0.86,0.26,3,0.94,72,0.92,1.76,3.491426,55.865642
19,3,2.24,1.9,177,0.9,0.82,0.82,0.22,3,0.96,71,0.88,1.66,3.255852,52.251252
20,3,2.12,1.88,177,0.9,0.78,0.82,0.22,3,0.96,66,0.86,1.5,2.799238,47.872062
21,3,2,1.86,171,0.88,0.78,0.78,0.2,3,0.9,64,0.78,1.42,2.337306,48.346998
22,3,1.96,1.86,167,0.86,0.76,0.78,0.2,3,0.9,63,0.8,1.32,1.948588,42.46259
23,2.98,1.82,1.74,150,0.84,0.7,0.7,0.2,3,0.96,60,0.84,1.24,1.63485,41.680538
24,2.98,1.7,1.68,147,0.8,0.68,0.64,0.2,3,0.94,59,0.84,1.16,1.366228,42.19978
25,2.98,1.56,1.64,131,0.78,0.6,0.64,0.2,3,0.94,58,0.86,1.14,1.133156,48.299334
26,2.98,1.54,1.58,135,0.78,0.6,0.64,0.2,3,0.92,60,0.84,1.1,1.073924,67.31768
27,2.98,1.5,1.54,129,0.76,0.62,0.64,0.18,3,0.9,59,0.84,1.1,0.931228,83.646532
28,2.96,1.46,1.46,124,0.74,0.64,0.64,0.18,3,0.88,60,0.82,1.1,1.299058,99.862606
29,2.96,1.5,1.5,127,0.74,0.64,0.66,0.2,3,0.86,61,0.8,1.1,1.328988,114.340012
30,2.96,1.52,1.5,129,0.76,0.62,0.62,0.16,3,0.86,62,0.8,1.08,1.581072,119.224534
31,2.96,1.56,1.48,133,0.76,0.62,0.6,0.14,3,0.86,62,0.82,1.1,1.802694,114.553058
32,2.94,1.58,1.48,141,0.74,0.62,0.62,0.16,3,0.86,62,0.78,1.1,1.71583,101.657702
33,2.92,1.6,1.48,142,0.76,0.62,0.62,0.16,3,0.86,61,0.78,1.1,1.67384,91.685192
34,2.7,1.54,1.44,142,0.78,0.62,0.62,0.16,3,0.86,60,0.8,1.1,1.645358,85.199364
35,2.34,1.58,1.48,142,0.78,0.58,0.58,0.16,3,0.86,60,0.76,1.08,1.642202,93.518698
36,2.16,1.54,1.48,142,0.78,0.56,0.56,0.16,3,0.86,60,0.74,1.08,1.517392,91.172288
37,2.14,1.52,1.44,141,0.76,0.56,0.52,0.14,3,0.84,60,0.74,1.08,1.325032,82.522404
38,2.02,1.5,1.44,141,0.76,0.58,0.48,0.14,3,0.84,60,0.74,1.08,1.552556,100.713858
39,1.94,1.44,1.4,142,0.76,0.58,0.48,0.14,3,0.84,60,0.72,1.08,1.50305,110.08432
40,1.94,1.42,1.36,141,0.76,0.54,0.48,0.14,3,0.84,60,0.72,1.08,1.504728,115.706318
41,1.94,1.4,1.36,139,0.76,0.54,0.44,0.12,3,0.84,60,0.72,1.08,1.664064,142.382526
42,1.92,1.4,1.34,139,0.76,0.54,0.44,0.12,3,0.84,60,0.76,1.08,1.79261,160.32626
43,1.82,1.42,1.34,141,0.78,0.54,0.44,0.12,3,0.86,60,0.76,1.08,2.09693,203.025184
44,1.86,1.48,1.34,142,0.76,0.52,0.48,0.12,3,0.86,60,0.76,1.1,2.387966,243.744452
45,1.92,1.42,1.3,145,0.78,0.52,0.48,0.14,3,0.84,60,0.74,1.12,2.84345,325.119866
46,1.94,1.44,1.34,156,0.78,0.64,0.46,0.14,3,0.84,62,0.72,1.12,3.120348,415.609724
47,1.96,1.48,1.36,161,0.76,0.66,0.46,0.16,3,0.82,63,0.72,1.16,4.267748,463.665088
48,1.96,1.46,1.34,165,0.76,0.62,0.46,0.14,3,0.84,63,0.7,1.16,3.971394,411.088278
49,1.96,1.48,1.38,167,0.74,0.62,0.46,0.14,3,0.84,64,0.72,1.2,5.82128,471.300084
50,1.94,1.44,1.44,165,0.76,0.68,0.46,0.14,3,0.84,64,0.7,1.2,6.66025,477.197736
51,1.94,1.48,1.48,165,0.82,0.72,0.46,0.14,3,0.86,64,0.72,1.22,6.306082,433.153688
52,1.94,1.5,1.44,163,0.82,0.7,0.46,0.14,3,0.86,64,0.76,1.2,5.13276,347.51015
53,1.94,1.48,1.44,164,0.82,0.7,0.46,0.14,3,0.86,65,0.76,1.2,5.922616,419.39112
54,1.92,1.42,1.4,161,0.82,0.72,0.46,0.14,3,0.84,66,0.78,1.18,6.784498,479.661818
55,1.96,1.4,1.42,160,0.82,0.66,0.46,0.14,3,0.84,66,0.76,1.2,6.73575,409.123934
56,1.98,1.38,1.42,159,0.78,0.6,0.48,0.12,3,0.86,66,0.76,1.2,5.99319,323.569388
57,1.9,1.38,1.42,159,0.8,0.6,0.46,0.1,3,0.86,66,0.78,1.2,6.088976,277.980112
58,1.9,1.36,1.38,156,0.82,0.56,0.46,0.1,3,0.86,66,0.8,1.18,5.590386,220.225
59,1.84,1.34,1.36,154,0.82,0.54,0.46,0.1,3,0.88,65,0.8,1.18,4.460166,175.779332
60,1.84,1.34,1.34,153,0.8,0.56,0.46,0.1,3,0.88,64,0.8,1.16,3.282142,133.10464
61,1.84,1.34,1.28,151,0.8,0.58,0.46,0.1,3,0.88,64,0.8,1.14,3.34922,135.555038
62,1.78,1.32,1.24,141,0.78,0.54,0.46,0.1,3,0.92,63,0.82,1.12,2.848656,116.843912
63,1.7,1.26,1.24,138,0.76,0.54,0.42,0.1,3,0.94,63,0.82,1.1,2.429734,111.362716
64,1.6,1.3,1.22,136,0.72,0.54,0.42,0.1,3,0.94,61,0.84,1.12,1.971512,115.653892
65,1.58,1.3,1.18,129,0.74,0.54,0.38,0.08,3,0.92,58,0.82,1.12,1.656926,128.70433
66,1.58,1.26,1.18,131,0.72,0.52,0.38,0.08,3,0.92,58,0.82,1.12,1.464842,134.07335
67,1.5,1.26,1.16,114,0.7,0.48,0.38,0.1,2.92,0.92,58,0.4,0.68,2.198588,143.219698
68,1.44,1.24,1.14,110,0.68,0.44,0.34,0.1,2.9,0.94,56,0.36,0.6,1.384,142.122112
